website	country	City
 https://www.embassypages.com/missions/embassy19644/	Anguilla	London, Government Office
 https://www.embassypages.com/missions/embassy16255/	Bangladesh	Birmingham, Deputy High Commission
 https://www.embassypages.com/missions/embassy16256/	Bangladesh	Manchester, Deputy High Commission
 https://www.embassypages.com/missions/embassy22276/	Bermuda	London, Government Office
 https://www.embassypages.com/missions/embassy19645/	British Virgin Islands	London, Government Office
 https://www.embassypages.com/missions/embassy19646/	Cayman Islands	London, Government Office
 https://www.embassypages.com/missions/embassy12597/	Falkland Islands	London, Government Office
 https://www.embassypages.com/missions/embassy9019/	Faroe Islands	London, Representative Office
 https://www.embassypages.com/missions/embassy10323/	Gibraltar	London, Government Office
 https://www.embassypages.com/missions/embassy10274/	Hong Kong	London, Trade Office
 https://www.embassypages.com/missions/embassy19647/	Montserrat	London, Government Office
 https://www.embassypages.com/missions/embassy22992/	Palestine	London, Representative Office
 https://www.embassypages.com/missions/embassy22965/	Romania	Edinburgh, Embassy Branch Office
 https://www.embassypages.com/missions/embassy19648/	Saint Helena	London, Government Office
 https://www.embassypages.com/missions/embassy22216/	Somaliland	London, Representative Office
 https://www.embassypages.com/missions/embassy8899/	Taiwan	London, Representative Office
 https://www.embassypages.com/missions/embassy8900/	Taiwan	Edinburgh, Representative Office
 https://www.embassypages.com/missions/embassy20669/	Turks and Caicos Islands	London, Representative Office
 https://www.embassypages.com/missions/embassy19114/	United States	Cardiff, Representative Office                       
